frame_index,time_s,detected,confidence,detected_x,detected_y,tracked_x,tracked_y,groundtruth_x,groundtruth_y,centroid_error_px,pointing_offset_x_px,pointing_offset_y_px,pointing_offset_px,command,status
11,0.36666666666666664,1,0.7671375274658203,312.2904052734375,243.04558563232422,312.9709777832031,233.57073974609375,,,,-7.029022216796875,-6.42926025390625,9.525887923793913,LEFT,TRACKING
12,0.4,1,0.5765617489814758,178.07162475585938,10.059864044189453,275.3434143066406,172.15048217773438,,,,-44.656585693359375,-67.84951782226562,81.22664411695395,UP,TRACKING
13,0.43333333333333335,1,0.7602306008338928,299.75933837890625,243.55935668945312,281.37493896484375,191.6148223876953,,,,-38.62506103515625,-48.38517761230469,61.91139436762684,UP,TRACKING
14,0.4666666666666667,1,0.732820987701416,293.16778564453125,243.75281524658203,283.9793395996094,205.93682861328125,,,,-36.020660400390625,-34.06317138671875,49.576079116860825,LEFT,TRACKING
15,0.5,1,0.7458636164665222,303.86798095703125,242.96558380126953,288.8682861328125,216.21334838867188,,,,-31.1317138671875,-23.786651611328125,39.1789280505112,LEFT,TRACKING
16,0.5333333333333333,1,0.7144789099693298,306.3434143066406,243.35771942138672,293.1482849121094,223.85047912597656,,,,-26.851715087890625,-16.149520874023438,31.33403305707345,LEFT,TRACKING
17,0.5666666666666667,1,0.7173040509223938,324.77593994140625,243.81932830810547,301.43585205078125,229.5714874267578,,,,-18.56414794921875,-10.428512573242188,21.292756129039592,LEFT,TRACKING
18,0.6,1,0.6684572696685791,327.99200439453125,243.9954833984375,308.4131774902344,233.80770874023438,,,,-11.586822509765625,-6.192291259765625,13.137691080192939,LEFT,TRACKING
19,0.6333333333333333,1,0.6435872912406921,332.81268310546875,243.8775634765625,314.8809814453125,236.8727569580078,,,,-5.1190185546875,-3.1272430419921875,5.99866651906267,LEFT,TRACKING
20,0.6666666666666666,1,0.6926833987236023,331.4385986328125,244.07171630859375,319.23638916015625,239.16668701171875,,,,-0.76361083984375,-0.83331298828125,1.1302707866547308,CENTER,TRACKING
21,0.7,1,0.7001623511314392,329.7034912109375,243.77771759033203,321.9412536621094,240.75782775878906,,,,1.941253662109375,0.7578277587890625,2.0839310671527294,CENTER,TRACKING
22,0.7333333333333333,1,0.689266562461853,326.855712890625,243.77947235107422,323.1219482421875,241.91705322265625,,,,3.1219482421875,1.91705322265625,3.663557544981972,RIGHT,TRACKING
23,0.7666666666666667,1,0.7248955965042114,324.95513916015625,243.89981079101562,323.4527282714844,242.79310607910156,,,,3.452728271484375,2.7931060791015625,4.441032997605578,RIGHT,TRACKING
24,0.8,1,0.7171554565429688,323.54864501953125,244.29202270507812,323.30023193359375,243.53857421875,,,,3.30023193359375,3.53857421875,4.838702131472252,DOWN,TRACKING
25,0.8333333333333334,1,0.7362713813781738,321.09405517578125,244.35638427734375,322.49609375,244.09530639648438,,,,2.49609375,4.095306396484375,4.7960419608125715,DOWN,TRACKING
26,0.8666666666666667,1,0.7069743871688843,318.80731201171875,244.37909698486328,321.261962890625,244.50186157226562,,,,1.261962890625,4.501861572265625,4.67539388214047,DOWN,TRACKING
27,0.9,1,0.6875744462013245,318.17425537109375,243.87718963623047,320.1835021972656,244.64903259277344,,,,0.183502197265625,4.6490325927734375,4.652652695513713,DOWN,TRACKING
28,0.9333333333333333,1,0.700933039188385,317.02911376953125,243.80154418945312,319.0730895996094,244.7277069091797,,,,-0.926910400390625,4.7277069091796875,4.817714760076364,DOWN,TRACKING
29,0.9666666666666667,1,0.6948408484458923,316.36590576171875,243.61920166015625,318.0769348144531,244.72573852539062,,,,-1.923065185546875,4.725738525390625,5.102037271347946,DOWN,TRACKING
30,1.0,1,0.6820796728134155,316.75518798828125,243.66140747070312,317.4654846191406,244.72898864746094,,,,-2.534515380859375,4.7289886474609375,5.365361296653485,DOWN,TRACKING
31,1.0333333333333334,1,0.6748589277267456,318.03656005859375,243.50897216796875,317.3912353515625,244.68035888671875,,,,-2.6087646484375,4.68035888671875,5.358303117538649,DOWN,TRACKING
32,1.0666666666666667,1,0.6749175190925598,318.036865234375,243.50845336914062,317.34283447265625,244.63735961914062,,,,-2.65716552734375,4.637359619140625,5.3446826731752815,DOWN,TRACKING
33,1.1,1,0.665274441242218,319.30975341796875,243.64437866210938,317.6786804199219,244.63775634765625,,,,-2.321319580078125,4.63775634765625,5.186261517999253,DOWN,TRACKING
